character,degree
VIGIL,1
"COOPER, TERI",1
SCOPE,1
D'SPRYTE,1
STAR THIEF/,1
SNOW QUEEN/GITTE,1
CHAKRA II,1
"STERLING, SID",1
"PINKWATER, ELLA",1
PROFESSOR GIBBON/,1
HO TI,1
"MARLOPOLIS, EDGAR",1
"FELDSTADT, DR. HANS",1
"HOUSTON, LT. COMMAND",1
AZRAEL,1
NIMROD,1
"MARKS, DR. SHIELA",1
SAJA,1
"KURLYCHEK, PATTY",1
GOLEM II,1
VINDIKTOR/,1
"DRAGO, VALERIE",1
FIREBOLT,1
BLOWTORCH/,1
GOOM,1
GARNOK REBBAHN,1
GREASE,1
GLORIOLE,1
QUASAR,1
"COVEY, LAWRENCE K.",1
DESADIA,1
"SHAW, MILDRED",1
SANDSTORM/,1
THANADEMOS,1
GAMBIT DOPPELGANGER ,1
CAPTAIN FATE,1
UNCEGILA,1
RIPPER/DR. JACQUELIN,1
EDITOR,1
"MURRAY, WILLIAM T. B",1
SLAYER/,1
MASTER OF VENGEANCE,1
MOTH/,1
FIREFLY II,1
STEEL SPIDER/OLLIE O,1
"ELLINGTON, DR./TRAVI",1
SUNTURION II/MIKE ST,1
"SPARROW BEAR, MELLIS",1
MARAUDER II,1
"FONG, KATY",1
PAST MASTER/PROFESSO,1
CLASS CLOWN/GLASS,1
PEACEMONGER/,1
"COLE, LYNETTE",2
"BLAKE, KENT",2
MINDWORM/WILLIAM TUR,2
SPITE/,2
"GROSS, CLIFFORD",2
ZEAKLAR,2
SMASHER,2
STEEPLEJACK,2
DISTORTER,2
WATCHLORD/,2
LORD OF LIGHT/BOWEN,2
"SAINT, AMANDA",2
MR. FEAR IV/ALAN FAG,2
AIR WALKER/ARLO SAMU,2
FOOLKILLER/ROSS EVER,2
LORD YARU,2
KYSA,2
GODWULF,2
SYRRH,2
SQUIRREL GIRL/,2
KRAGG,2
KHAN,2
AI-CHIA,2
RAPTOR/PAUL HAZLETT,2
MCLEISH,2
MAX,2
SAMURAI STEEL/YOSHID,2
"STILWELL, RON",2
WIZARD OF THE WEST,2
"BEDFORD, BRAD HULK",2
BLOOD-TIDE,2
POWERHOUSE IV/,2
BLACK TALON III,2
SNIPER/VON BURIAN,2
"STRUNK, BELLA",2
"STARK, ISAAC",2
ANTIQUARY/,2
"FLINN, LANCELOT LANC",2
NAVARRO,2
"CONRAD, LUTHER DUTCH",2
"KLEIN, SUMMER",2
WINDEAGLE/HECTOR SAN,2
SMEDLEY,2
PAPA NEBO,2
RASCAL/,2
"GREICO, LINDA",2
"DULTRY, MARGARET",2
TRAPSTER II/LARRY CU,2
"DUFFY, SGT. MIKE",2
TREVORIK,2
MASTERMIND II/BOWERS,2
PAYBACK/,2
"RYANS, JIM",2
TERRIGENE,2
PRIMAX/JAROMEL,2
COPPERHEAD II/,2
"WOLMAN, GIDEON",2
"ROMANO, TONY",2
"JARMAN, TOMMY",2
"SLUGANSKI, ERNIE",2
"O'SHAUGNESSY, COLLEE",2
NIGHT PHANTOM/TRAVIS,2
"PILLMAN, JIM",2
AGGAMON,2
TETHERBLOOD/,2
SUNSET,2
"PETERS, SHANA TOC",2
"SANTOS, JOSE",2
"SANTOS, MARIO",2
"CROWLEY, SEN.",2
"DOMANI, DINO",2
"MICHAELS, DAWN",2
HECATE,2
BLACK TALON/DESMOND ,2
WRECKER II,2
KALMARI,2
BLACK RAZER,2
AZOPARDI,2
MR. SINISTER | AOA,2
"SANCHEZ, DET. LOUISA",2
KINGSIZE,2
DAMBALLAH,2
BROTHER STEPHEN,2
PROTO-GOBLIN/VAN ADD,2
BARON SAMEDI,2
SCARLET BEETLE,2
STINGER/,3
"SZARDOS, STEFAN",3
"STILES, TATJANA",3
"KAZAKI, SHINJI",3
"BIRD, TUESDAY",3
MARCHALLA II,3
FORGE | EARTH 998,3
RAPTAR,3
TABUR,3
BULLSEYE,3
RAGA,3
ULTRA-MAX,3
MARCHALLA,3
TIGER WYLDE,3
URCHALLA,3
BROKEN MAN,3
VIBRANIA/SHARA,3
REAVER/JOSHUA STRAGG,3
"DUCRESTE, ABRIAN",3
"MASTIFF, MINNIE",3
MASTIFF,3
ANGEL II/THOMAS HALL,3
"FALSWORTH, KENNETH",3
"PETERS, NIGEL",3
"FLEET, JONAS",3
VERMIN II,3
"DOOM, DR. BOB",3
DEATHLOK III DOPPELG,3
WENDIGO IV/MICHAEL F,3
"FLEET, TAMARA",3
"HARRIGAN, CHESTER CH",3
"O'HARA, GERALD",3
RAGA-SHAH,3
"TRAVERS, MIKE",3
"RUIZ, DR. BERNARDO",3
SKULLCRASHER/,3
"EISMAN, BETTY",3
"HAWKINS, DR. EDWIN E",3
"ARGOSY, HERVE",3
"MCSHANE, PATRICK",3
DIAMOND HEAD,3
SHALLA BAL,3
DETHSTRYK,3
BRUNO,3
EXECUTIONER,3
CRUSHER II/JUAN APON,3
COCO,3
SHAMAN III,3
"MACKAY, MURDO",3
"LANCELOT, SIR",3
"MACKAY, AILSA",3
AGAMEMNON II/ANDREI ,3
KATHAR,3
LONGARM/,3
ZABO,3
EL VAMPIRO,3
EL TORO ROJO,3
HALF-FACE,3
"GREGORY, TODD",3
ASTROLOGER/,3
DEVASTATOR/KIROV PET,3
SCORCH/TOMMY NG,3
VANESSA,3
FANG,3
GESTALT,3
"ROSENBERG, ANNIE",3
LEATHER/,3
LACE/,3
"BLAKE, EMILY",3
SYLPH,3
OUBLIETTE/,3
BLOODSHED/WYNDELL DI,3
"DICHINSON, RICKY",3
NAGA,3
MINOTAUR II,3
ANIMUS,3
STORMER,3
SEERESS,3
ZONE,3
"PIERSON, FRED",3
CAT IV,3
"SINGER, MERLE",3
"DEWOLFF, MEREDITH",3
COTTONMOUTH,3
LUCIFER II,3
COLOSSUS,3
BLOCKBUSTER II,3
THREE-FACE,3
SARACEN,3
ANANASTASIA/ANNA,3
NICODEMUS,3
JUTTA,3
FORTUNE,3
"HILL, GEORGE",3
HATCHET-9,3
"BLOODVESSEL, BUSTA",3
CYLLA,3
"HOFFMAN, ALICE",3
SUNSET GRACE,3
"KELLOG, SHERIFF L.B.",3
B'GON,3
"FAVERSHAM, DAPHNE",3
TARGET,3
NIGHTEYES/ERIC,3
BI-BEAST,4
"RIVERA, MS.",4
KARSANO,4
MALICE II,4
"QUENTIN, RALPH",4
VOID-EATER,4
STYX II,4
MASTERBLASTER/,4
MINDSTORM/,4
MERREE,4
CAPTAIN GLORY,4
CLUSTER,4
ROCKET RACER II/,4
SKY-WALKER,4
"FORD, GERALD",4
VEGA-SUPERIOR,4
"STEIN, EMIL",4
POWERHOUSE II/,4
TORPEDO II/MICHAEL S,4
"LOPEZ, DONNA",4
SHADOWOMAN/JILLIAN W,4
WILLIS,4
"GEDDINGS, JUDITH GHO",4
DR. POWER/DR. MAXIMU,4
"CHAKARA, MADAN",4
"MOSLEY, WARDEN",4
MOURNING PREY,4
"HONDA, DR.",4
MASTER FOUR,4
"DE LA SALLE, BEATRIC",4
LEVIATHAN VI,4
"MADDICKS, NADINE",4
BIZEN,4
HYPERTRON II/STURDEV,4
HYPERTRON/CHESTER,4
"BECKMAN, CHARLES",4
PERSEPHONE II,4
"BECKMAN, JOSEPH",4
"BECKMAN, LISA",4
AMPERE/,4
PAVANE II,4
BRAWLER,4
TRACER,4
"NICHOLS, LORNA",4
SLAUGHTER,4
REAPER,4
MADAME SLAY,4
"VINYL, MILO",4
"BLANDING, MRS.",4
